protein	compound	aveaffinty
CHEMBL1995	CHEMBL1813280	230
CHEMBL1995	CHEMBL191056	570
CHEMBL1995	CHEMBL1813284	280
CHEMBL1995	CHEMBL1915862	3300
CHEMBL1995	CHEMBL1819612	3500
CHEMBL1995	CHEMBL10439	9600
CHEMBL1995	CHEMBL363800	6.1
CHEMBL1995	CHEMBL1813283	2100
CHEMBL1995	CHEMBL1813289	520
CHEMBL1995	CHEMBL189378	170
CHEMBL1995	CHEMBL416334	150
CHEMBL1995	CHEMBL10742	650
CHEMBL1995	CHEMBL10853	5300
CHEMBL1995	CHEMBL1819622	1600
CHEMBL1995	CHEMBL1819607	2900
CHEMBL1995	CHEMBL565591	14414
CHEMBL1995	CHEMBL294108	870
CHEMBL1995	CHEMBL1819609	2700
CHEMBL1995	CHEMBL11088	380
CHEMBL1995	CHEMBL1813285	3000
CHEMBL1995	CHEMBL188758	400
CHEMBL1995	CHEMBL1813288	5100
CHEMBL1995	CHEMBL1819604	4600
CHEMBL1995	CHEMBL10740	7800
CHEMBL1995	CHEMBL10856	3100
CHEMBL1995	CHEMBL190497	12
CHEMBL1995	CHEMBL60555	1400
CHEMBL1995	CHEMBL494	14.45
CHEMBL1995	CHEMBL62868	920
CHEMBL1995	CHEMBL190735	560
CHEMBL1995	CHEMBL1819619	1400
CHEMBL1995	CHEMBL275493	5300
CHEMBL1995	CHEMBL10564	4900
CHEMBL1995	CHEMBL1819603	6400
CHEMBL1995	CHEMBL10442	3000
CHEMBL1995	CHEMBL10404	23000
CHEMBL1995	CHEMBL10829	2100
CHEMBL1995	CHEMBL192613	610
CHEMBL1995	CHEMBL64187	750
CHEMBL1995	CHEMBL565992	5875
CHEMBL1995	CHEMBL1819611	2600
CHEMBL1995	CHEMBL187544	680
CHEMBL1995	CHEMBL1819608	3600
CHEMBL1995	CHEMBL361939	80
CHEMBL1995	CHEMBL1916700	56200
CHEMBL1995	CHEMBL418338	2200
CHEMBL1995	CHEMBL187758	270
CHEMBL1995	CHEMBL1813279	1500
CHEMBL1995	CHEMBL10470	600
CHEMBL1995	CHEMBL385126	14000
CHEMBL1995	CHEMBL1813272	430
CHEMBL1995	CHEMBL1813273	98
CHEMBL1995	CHEMBL1813115	200
CHEMBL1995	CHEMBL192661	4700
CHEMBL1995	CHEMBL1813117	49
CHEMBL1995	CHEMBL1813116	1100
CHEMBL1995	CHEMBL400404	476
CHEMBL1995	CHEMBL1916708	33000
CHEMBL1995	CHEMBL1915669	2500
CHEMBL1995	CHEMBL10261	3900
CHEMBL1995	CHEMBL426559	6628
CHEMBL1995	CHEMBL268477	150
CHEMBL1995	CHEMBL190840	5800
CHEMBL1995	CHEMBL9540	1.58
CHEMBL1995	CHEMBL192662	210
CHEMBL1995	CHEMBL1813121	92
CHEMBL1995	CHEMBL1813123	72
CHEMBL1995	CHEMBL1813119	1000
CHEMBL1995	CHEMBL1813281	93
